city_name,weather_description,temperature,atmospheric_pressure,humidity,clouds,precipitation,creation_date
Guimaraes,"nuvens quebrados",23,1019,78,75,0,"2018-07-30 14H"
Guimaraes,"chuva leve",22,1019,94,75,0,"2018-07-30 15H"
Guimaraes,"nuvens quebrados",22,1019,88,75,0,"2018-07-30 16H"
Guimaraes,"nuvens quebrados",22,1019,83,75,0,"2018-07-30 17H"
Guimaraes,"nuvens quebrados",22,1019,88,75,0,"2018-07-30 18H"
Guimaraes,"nuvens quebrados",21,1019,88,75,0,"2018-07-30 19H"
Guimaraes,"nuvens quebrados",21,1019,88,75,0,"2018-07-30 20H"
Guimaraes,"nuvens quebrados",21,1019,94,75,0,"2018-07-30 21H"
Guimaraes,"nuvens quebrados",20,1020,94,75,0,"2018-07-30 22H"
Guimaraes,"nuvens quebrados",20,1019,94,75,0,"2018-07-30 23H"
Guimaraes,"nuvens quebrados",20,1020,100,75,0,"2018-07-31 00H"
Guimaraes,"nuvens quebrados",20,1019,100,75,0,"2018-07-31 01H"
Guimaraes,"nuvens quebrados",20,1018,93,75,0,"2018-07-31 02H"
Guimaraes,"nuvens quebrados",19,1018,93,75,0,"2018-07-31 03H"
Guimaraes,"nuvens quebrados",19,1018,93,75,0,"2018-07-31 04H"
Guimaraes,"nuvens quebrados",19,1018,93,75,0,"2018-07-31 05H"
Guimaraes,"nuvens quebrados",19,1018,93,75,0,"2018-07-31 06H"
Guimaraes,"nuvens quebrados",19,1019,93,75,0,"2018-07-31 07H"
Guimaraes,"nuvens quebrados",19,1019,93,75,0,"2018-07-31 08H"
Guimaraes,"nuvens quebrados",19,1019,88,75,0,"2018-07-31 09H"
Guimaraes,"nuvens quebrados",20,1020,88,75,0,"2018-07-31 10H"
Guimaraes,"nuvens dispersas",20,1019,78,40,0,"2018-07-31 11H"
Guimaraes,"nuvens dispersas",22,1019,73,40,0,"2018-07-31 12H"
Guimaraes,"nuvens dispersas",22,1019,69,40,0,"2018-07-31 13H"
Guimaraes,"algumas nuvens",22,1019,68,20,0,"2018-07-31 14H"
Guimaraes,"algumas nuvens",22,1018,68,20,0,"2018-07-31 15H"
Guimaraes,"algumas nuvens",21,1018,64,20,0,"2018-07-31 16H"
Guimaraes,"céu claro",21,1018,68,0,0,"2018-07-31 17H"
Guimaraes,"céu claro",21,1018,60,0,0,"2018-07-31 18H"
Guimaraes,"céu claro",19,1018,72,0,0,"2018-07-31 19H"
Guimaraes,"céu claro",18,1018,77,0,0,"2018-07-31 20H"
Guimaraes,"céu claro",17,1018,82,0,0,"2018-07-31 21H"
Guimaraes,"céu claro",17,1018,82,0,0,"2018-07-31 22H"
Guimaraes,"céu claro",16,1018,87,0,0,"2018-07-31 23H"
Guimaraes,"céu claro",15,1017,93,0,0,"2018-08-01 00H"
Guimaraes,"céu claro",14,1017,100,0,0,"2018-08-01 01H"
Guimaraes,"céu claro",14,1017,93,0,0,"2018-08-01 02H"
Guimaraes,"céu claro",13,1016,93,0,0,"2018-08-01 03H"
Guimaraes,"céu claro",13,1016,93,0,0,"2018-08-01 04H"
Guimaraes,"céu claro",13,1016,93,0,0,"2018-08-01 05H"
Guimaraes,"céu claro",12,1016,100,0,0,"2018-08-01 06H"
Guimaraes,"céu claro",21,1016,73,0,0,"2018-08-01 09H"
Guimaraes,"céu claro",22,1017,69,0,0,"2018-08-01 10H"
Guimaraes,"céu claro",22,1016,64,0,0,"2018-08-01 11H"
Guimaraes,"céu claro",22,1016,60,0,0,"2018-08-01 12H"
Guimaraes,"céu claro",23,1015,57,0,0,"2018-08-01 13H"
Guimaraes,"céu claro",24,1015,54,0,0,"2018-08-01 14H"
Guimaraes,"céu claro",25,1014,51,0,0,"2018-08-01 15H"
Guimaraes,"céu claro",25,1014,47,0,0,"2018-08-01 16H"
Guimaraes,"céu claro",25,1014,45,0,0,"2018-08-01 17H"
Guimaraes,"céu claro",24,1013,54,0,0,"2018-08-01 18H"
Guimaraes,"céu claro",22,1013,61,0,0,"2018-08-01 19H"
Guimaraes,"céu claro",20,1013,69,0,0,"2018-08-01 20H"
Guimaraes,"céu claro",19,1013,78,0,0,"2018-08-01 21H"
Guimaraes,"céu claro",18,1013,88,0,0,"2018-08-01 22H"
Guimaraes,"céu claro",19,1013,83,0,0,"2018-08-01 23H"
Guimaraes,"céu claro",18,1013,83,0,0,"2018-08-02 00H"
Guimaraes,"céu claro",18,1013,88,0,0,"2018-08-02 01H"
Guimaraes,"céu claro",18,1013,83,0,0,"2018-08-02 02H"
Guimaraes,"céu claro",17,1013,93,0,0,"2018-08-02 03H"
Guimaraes,"céu claro",17,1013,93,0,0,"2018-08-02 04H"
Guimaraes,"céu claro",17,1013,93,0,0,"2018-08-02 05H"
Guimaraes,"céu claro",17,1013,100,0,0,"2018-08-02 06H"
Guimaraes,"céu claro",20,1013,73,0,0,"2018-08-02 07H"
Guimaraes,"céu claro",25,1014,65,0,0,"2018-08-02 08H"
Guimaraes,"céu claro",28,1014,43,0,0,"2018-08-02 09H"
Guimaraes,"céu claro",27,1014,65,0,0,"2018-08-02 10H"
Guimaraes,"céu claro",28,1014,61,0,0,"2018-08-02 11H"
Guimaraes,"céu claro",28,1014,61,0,0,"2018-08-02 12H"
Guimaraes,"céu claro",27,1014,61,0,0,"2018-08-02 13H"
Guimaraes,"céu claro",29,1014,48,0,0,"2018-08-02 14H"
Guimaraes,"céu claro",30,1014,48,0,0,"2018-08-02 15H"
Guimaraes,"céu claro",32,1013,41,0,0,"2018-08-02 16H"
Guimaraes,"céu claro",32,1013,41,0,0,"2018-08-02 17H"
Guimaraes,"céu claro",30,1013,43,0,0,"2018-08-02 18H"
Guimaraes,"céu claro",29,1013,48,0,0,"2018-08-02 19H"
Guimaraes,"céu claro",26,1014,48,0,0,"2018-08-02 20H"
Guimaraes,"céu claro",24,1014,61,0,0,"2018-08-02 21H"
Guimaraes,"céu claro",23,1015,69,0,0,"2018-08-02 22H"
Guimaraes,"céu claro",23,1014,61,0,0,"2018-08-02 23H"
Guimaraes,"céu claro",23,1015,73,0,0,"2018-08-03 00H"
Guimaraes,"céu claro",22,1014,78,0,0,"2018-08-03 01H"
Guimaraes,"céu claro",21,1014,83,0,0,"2018-08-03 02H"
Guimaraes,"céu claro",20,1014,88,0,0,"2018-08-03 03H"
Guimaraes,"céu claro",20,1014,83,0,0,"2018-08-03 04H"
Guimaraes,"céu claro",21,1014,73,0,0,"2018-08-03 05H"
Guimaraes,"céu claro",20,1014,61,0,0,"2018-08-03 06H"
Guimaraes,"céu claro",23,1015,57,0,0,"2018-08-03 07H"
Guimaraes,"céu claro",27,1015,55,0,0,"2018-08-03 08H"
Guimaraes,"céu claro",26,1016,61,0,0,"2018-08-03 09H"
Guimaraes,"céu claro",29,1016,52,0,0,"2018-08-03 10H"
Guimaraes,"céu claro",27,1017,58,0,0,"2018-08-03 11H"
Guimaraes,"céu claro",27,1017,65,0,0,"2018-08-03 12H"
Guimaraes,"céu claro",30,1017,65,0,0,"2018-08-03 13H"
Guimaraes,"céu claro",35,1016,46,0,0,"2018-08-03 14H"
Guimaraes,"céu claro",31,1016,55,0,0,"2018-08-03 15H"
Guimaraes,"céu claro",33,1016,51,0,0,"2018-08-03 16H"
Guimaraes,"céu claro",29,1016,48,0,0,"2018-08-03 17H"
Guimaraes,"céu claro",25,1016,73,0,0,"2018-08-03 18H"
Guimaraes,"céu claro",24,1016,73,0,0,"2018-08-03 19H"
Guimaraes,"céu claro",24,1016,73,0,0,"2018-08-03 20H"
Guimaraes,"céu claro",22,1016,78,0,0,"2018-08-03 21H"
Guimaraes,"céu claro",22,1017,83,0,0,"2018-08-03 22H"
Guimaraes,"céu claro",23,1016,78,0,0,"2018-08-03 23H"
Guimaraes,"céu claro",21,1016,88,0,0,"2018-08-04 00H"
Guimaraes,"céu claro",22,1016,83,0,0,"2018-08-04 01H"
Guimaraes,"céu claro",21,1016,88,0,0,"2018-08-04 02H"
Guimaraes,"céu claro",20,1016,83,0,0,"2018-08-04 03H"
Guimaraes,"céu claro",21,1016,78,0,0,"2018-08-04 04H"
Guimaraes,"céu claro",20,1016,88,0,0,"2018-08-04 05H"
Guimaraes,"céu claro",21,1016,69,0,0,"2018-08-04 06H"
Guimaraes,"céu claro",21,1016,88,0,0,"2018-08-04 07H"
Guimaraes,"céu claro",25,1017,69,0,0,"2018-08-04 08H"
Guimaraes,"céu claro",29,1017,55,0,0,"2018-08-04 09H"
Guimaraes,"céu claro",31,1017,52,0,0,"2018-08-04 10H"
Guimaraes,"céu claro",31,1017,59,0,0,"2018-08-04 11H"
Guimaraes,"céu claro",32,1017,49,0,0,"2018-08-04 12H"
Guimaraes,"céu claro",32,1017,55,0,0,"2018-08-04 13H"
Guimaraes,"céu claro",31,1017,49,0,0,"2018-08-04 14H"
Guimaraes,"céu claro",33,1016,46,0,0,"2018-08-04 15H"
Guimaraes,"céu claro",33,1016,49,0,0,"2018-08-04 16H"
Guimaraes,"céu claro",30,1016,52,0,0,"2018-08-04 17H"
Guimaraes,"céu claro",30,1016,52,0,0,"2018-08-04 18H"
Guimaraes,"céu claro",27,1016,73,0,0,"2018-08-04 19H"
Guimaraes,"céu claro",22,1016,83,0,0,"2018-08-04 20H"
Guimaraes,"céu claro",22,1016,83,0,0,"2018-08-04 21H"
Guimaraes,"algumas nuvens",21,1016,78,20,0,"2018-08-04 22H"
Guimaraes,"algumas nuvens",21,1016,83,20,0,"2018-08-04 23H"
Guimaraes,"algumas nuvens",20,1016,94,20,0,"2018-08-05 00H"
Guimaraes,"céu claro",20,1016,88,0,0,"2018-08-05 01H"
Guimaraes,"céu claro",20,1015,94,0,0,"2018-08-05 02H"
Guimaraes,"céu claro",21,1015,88,0,0,"2018-08-05 03H"
Guimaraes,"céu claro",20,1015,94,0,0,"2018-08-05 04H"
Guimaraes,"céu claro",20,1015,94,0,0,"2018-08-05 05H"
Guimaraes,"céu claro",19,1015,94,0,0,"2018-08-05 06H"
Guimaraes,"céu claro",21,1016,88,0,0,"2018-08-05 07H"
Guimaraes,"céu claro",22,1016,69,0,0,"2018-08-05 08H"
Guimaraes,"céu claro",28,1016,55,0,0,"2018-08-05 09H"
Guimaraes,"céu claro",30,1016,58,0,0,"2018-08-05 10H"
Guimaraes,"céu claro",30,1016,58,0,0,"2018-08-05 11H"
Guimaraes,"céu claro",31,1016,52,0,0,"2018-08-05 12H"
Guimaraes,"céu claro",30,1016,58,0,0,"2018-08-05 13H"
Guimaraes,"céu claro",28,1016,65,0,0,"2018-08-05 14H"
Guimaraes,"céu claro",28,1015,65,0,0,"2018-08-05 15H"
Guimaraes,"céu claro",29,1015,62,0,0,"2018-08-05 16H"
Guimaraes,"céu claro",27,1015,54,0,0,"2018-08-05 17H"
Guimaraes,"céu claro",27,1015,69,0,0,"2018-08-05 18H"
Guimaraes,"céu claro",26,1014,74,0,0,"2018-08-05 19H"
Guimaraes,"céu claro",23,1015,83,0,0,"2018-08-05 20H"
Guimaraes,"céu claro",21,1016,94,0,0,"2018-08-05 21H"
Guimaraes,"céu claro",20,1016,94,0,0,"2018-08-05 22H"
Guimaraes,névoa,20,1016,100,40,0,"2018-08-05 23H"
Guimaraes,neblina,20,1016,100,90,0,"2018-08-06 00H"
Guimaraes,neblina,20,1016,94,90,0,"2018-08-06 01H"
Guimaraes,neblina,19,1015,100,90,0,"2018-08-06 02H"
Guimaraes,névoa,19,1015,100,90,0,"2018-08-06 03H"
Guimaraes,névoa,19,1015,100,90,0,"2018-08-06 04H"
Guimaraes,névoa,19,1016,100,90,0,"2018-08-06 05H"
Guimaraes,névoa,18,1016,100,90,0,"2018-08-06 06H"
Guimaraes,névoa,18,1016,100,90,0,"2018-08-06 07H"
Guimaraes,névoa,18,1016,100,90,0,"2018-08-06 08H"
Guimaraes,"garoa fraca",19,1016,93,90,0,"2018-08-06 09H"
Guimaraes,"garoa fraca",19,1016,93,90,0,"2018-08-06 10H"
Guimaraes,"garoa fraca",20,1017,88,90,0,"2018-08-06 11H"
Guimaraes,"tempo nublado",21,1017,73,90,0,"2018-08-06 12H"
Guimaraes,"nuvens quebrados",21,1016,83,75,0,"2018-08-06 13H"
Guimaraes,"nuvens quebrados",22,1016,77,75,0,"2018-08-06 14H"
Guimaraes,"nuvens quebrados",22,1016,73,75,0,"2018-08-06 15H"
Guimaraes,"nuvens quebrados",21,1016,83,75,0,"2018-08-06 16H"
Guimaraes,"nuvens quebrados",22,1016,73,75,0,"2018-08-06 17H"
Guimaraes,"algumas nuvens",22,1016,77,20,0,"2018-08-06 18H"
Guimaraes,"algumas nuvens",20,1016,82,20,0,"2018-08-06 19H"
Guimaraes,"algumas nuvens",19,1016,88,20,0,"2018-08-06 20H"
Guimaraes,"nuvens quebrados",19,1017,88,75,0,"2018-08-06 21H"
Guimaraes,"nuvens quebrados",19,1017,82,75,0,"2018-08-06 22H"
Guimaraes,"tempo nublado",19,1017,82,90,0,"2018-08-06 23H"
Guimaraes,"tempo nublado",19,1017,93,90,0,"2018-08-07 00H"
Guimaraes,"tempo nublado",18,1017,100,90,0,"2018-08-07 01H"
Guimaraes,"tempo nublado",18,1016,93,90,0,"2018-08-07 02H"
Guimaraes,"tempo nublado",18,1016,93,90,0,"2018-08-07 03H"
Guimaraes,"tempo nublado",18,1016,93,90,0,"2018-08-07 04H"
Guimaraes,"tempo nublado",18,1016,93,90,0,"2018-08-07 05H"
Guimaraes,"tempo nublado",18,1016,93,90,0,"2018-08-07 06H"
Guimaraes,"nuvens quebrados",18,1017,88,75,0,"2018-08-07 07H"
